,SES0100,date,time,ECB0100,SST0100,SPS0100,ETB0100,AHA0100,SHS0100,SRT0100,ARA0100,EOS0100,SIR0100
239,,2021-07-16,02:30:03.876625,,,28.409038160405693,,,,,,,
240,,2021-07-16,02:30:04.801676,,,,"{'maxValueVolt': 5.057449140196086, 'minValueVolt': -0.04625028688239865, 'maxValueCurr': 20.007268252793693, 'minValueCurr': 3.9900649658074046}",,,,,,
241,,2021-07-16,02:30:07.726212,,,,PFPP,,,,,,
242,0.0,2021-07-16,02:30:08.567614,,,,,,,,,,
243,,2021-07-16,02:30:08.681373,HALT,,,,,,,,,
244,,2021-07-16,02:30:08.784538,,219.0,,,,,,,,
245,,2021-07-16,02:30:08.886252,,,29.365961684549085,,,,,,,
246,0.0,2021-07-16,02:30:13.557750,,,,,,,,,,
247,,2021-07-16,02:30:13.665775,HALT,,,,,,,,,
248,,2021-07-16,02:30:13.765918,,218.8860393956813,,,,,,,,
249,,2021-07-16,02:30:13.864417,,,30.34797975699985,,,,,,,
250,,2021-07-16,02:30:15.665892,,,,,,,,,Pass,
251,0.0,2021-07-16,02:30:18.558455,,,,,,,,,,
252,,2021-07-16,02:30:18.660555,HALT,,,,,,,,,
253,,2021-07-16,02:30:18.759607,,219.0,,,,,,,,
254,,2021-07-16,02:30:18.875033,,,31.35408911665041,,,,,,,
255,,2021-07-16,02:30:19.888728,,,,"{'maxValueVolt': 4.864150421717984, 'minValueVolt': -0.055323595380079076, 'maxValueCurr': 19.968675053412944, 'minValueCurr': 4.0219197507557745}",,,,,,
256,,2021-07-16,02:30:22.881868,,,,PFPP,,,,,,
257,0.0,2021-07-16,02:30:23.558595,,,,,,,,,,
258,,2021-07-16,02:30:23.659467,HALT,,,,,,,,,
259,,2021-07-16,02:30:23.761633,,219.0,,,,,,,,
260,,2021-07-16,02:30:23.861043,,,32.32691080801631,,,,,,,
261,0.0,2021-07-16,02:30:28.559055,,,,,,,,,,
262,,2021-07-16,02:30:28.662019,HALT,,,,,,,,,
263,,2021-07-16,02:30:28.762078,,219.0,,,,,,,,
264,,2021-07-16,02:30:28.865530,,,33.28112558853089,,,,,,,
265,,2021-07-16,02:30:30.749273,,,,,,,,,Pass,
266,0.0,2021-07-16,02:30:33.556909,,,,,,,,,,
267,,2021-07-16,02:30:33.663514,HALT,,,,,,,,,
268,,2021-07-16,02:30:33.764757,,219.0,,,,,,,,
269,,2021-07-16,02:30:33.901164,,,34.305230807057384,,,,,,,
270,,2021-07-16,02:30:34.993474,,,,"{'maxValueVolt': 4.854143498481483, 'minValueVolt': 0.010393171128594274, 'maxValueCurr': 19.98729156240041, 'minValueCurr': 3.993633181549138}",,,,,,
